mode_index,discrete_pole_real,discrete_pole_imag,continuous_pole_real_per_s,continuous_pole_imag_rad_per_s,decay_rate_per_s,frequency_hz,time_constant_ms,damping_ratio,amplitude_abs,amplitude_phase_rad,amplitude_fraction,model_order,reconstruction_nrmse,mode_type,capture_id,event_id,event_peak_time_s,event_peak_abs_v,event_segment_width_us,cluster_id
1.0,0.8536860778846624,0.48573249933604035,-1796.0770852294124,51730.0263347147,1796.0770852294124,8233.089397443766,0.5567689762448421,0.03469929577465886,25.260003632732083,0.4129024299683838,0.9999999999999954,2.0,0.04495100982230743,oscillatory,1,1,0.01965,23.297784787052137,1649.9999999999327,1
1.0,0.978275498587758,0.0,-2196.3952718657383,0.0,2196.3952718657383,0.0,0.4552914554175603,1.0,25.466051026633565,-0.0,1.0,1.0,0.06168336811162973,real_decay,2,1,0.03971,24.169058098969387,1609.9999999999343,2
1.0,0.8562846961206411,0.48257567306976046,-1724.2536264838004,51320.12933287929,1724.2536264838004,8167.852263443112,0.5799610826623337,0.0335790513644645,24.724724287469986,0.18125488070757884,1.0,3.0,0.038247046819616964,oscillatory,3,1,0.028440000000000003,24.128323482146072,1649.9999999999327,1
1.0,0.97820218562187,0.0,-2203.889654910736,0.0,2203.889654910736,0.0,0.453743225198134,1.0,23.67841576491103,-0.0,1.0,1.0,0.05563435218514351,real_decay,5,1,0.023160000000000004,22.764146658809523,1589.9999999999352,2
1.0,0.8557251756565127,0.48533598298087355,-1635.6340041288438,51592.490885415114,1635.6340041288438,8211.199950837372,0.6113837187755281,0.03168702705036265,18.989657282478838,0.35372287575457473,0.9999999999999991,2.0,0.08425818160360754,oscillatory,6,1,0.017920000000000002,17.768424504962198,1719.99999999993,1
1.0,0.9774466038225833,0.0,-2281.1613860069274,0.0,2281.1613860069274,0.0,0.4383731927667143,1.0,20.634229701006298,3.141592653589793,1.0,1.0,0.05300694130493525,real_decay,8,1,0.027340000000000003,20.2960195984908,1419.9999999999422,2
1.0,0.8569862030304344,0.48128234948331095,-1726.5675612327973,51170.454016642216,1726.5675612327973,8144.03069700514,0.5791838225467318,0.03372230311872119,20.18053782835976,0.24891527466553987,0.9999999999999891,2.0,0.06091705723731262,oscillatory,9,1,0.026170000000000002,19.033347880556306,1599.9999999999347,1
1.0,0.8610391740525208,0.47851690546239467,-1504.0521938814336,50724.20942091227,1504.0521938814336,8073.0086637666745,0.6648705437670678,0.029638538557170798,26.346747897545992,0.06451750089565492,0.9999999999999923,2.0,0.03638152686425252,oscillatory,12,1,0.027370000000000002,26.071263337743858,1989.9999999999188,1
1.0,0.9775369064946627,0.0,-2271.923183058708,0.0,2271.923183058708,0.0,0.4401557268559107,1.0,19.65015482482776,3.141592653589793,1.0,1.0,0.06354592545803817,real_decay,14,1,0.03425,19.344196398396917,1439.9999999999413,2
1.0,0.8552042035410571,0.4842859748823497,-1734.3791350619613,51525.71069295374,1734.3791350619613,8200.571553106516,0.5765752019175868,0.03364140731046909,19.320005728349617,0.3731455998005331,0.9999999999999949,2.0,0.05625022338665557,oscillatory,15,1,0.022250000000000002,17.985650401873784,1519.9999999999382,1
1.0,0.85600440438776,0.48277546155024953,-1739.1131794484702,51351.842658961315,1739.1131794484702,8172.899596050952,0.5750057051014545,0.033847211912715676,25.13506314755357,0.018525258460659062,0.999999999999996,2.0,0.04973917802216827,oscillatory,18,1,0.02135,24.927756245330215,1969.9999999999197,1
1.0,0.9792447357261032,0.0,-2097.368227285466,0.0,2097.368227285466,0.0,0.4767879988790796,1.0,24.671802777588553,3.141592653589793,1.0,1.0,0.06910527011551568,real_decay,20,1,0.0322,23.72853983494081,1689.999999999931,2
1.0,0.8554678915752849,0.48203186553577093,-1823.862283977611,51312.722739244346,1823.862283977611,8166.673467454638,0.5482870109135255,0.03552162430123965,20.350930279442863,3.1147901837549794,0.9999999999999908,2.0,0.054316318931961406,oscillatory,21,1,0.027090000000000003,20.341135291721116,1639.9999999999332,1
