order,expected_magnitude,measured_magnitude,delta_h,delta_sigma,expected_relative_phase_deg,measured_relative_phase_deg
2,3.800829358144074e-05,0.05993840838905662,0.059900400095475176,447.6374680663376,8.80265121426594,41.92099334796517
3,0.09999689369076448,0.000121958702483947,-0.09987493498828053,747.2910311850803,153.62980579024406,147.26813224565427
4,4.062697362238514e-05,0.000235582884533882,0.00019495591091149686,1.4593696488776495,-9.620447295007427,-43.27218799670298
5,2.927866166405915e-05,0.08019847018584643,0.08016919152418236,598.3542580360347,-150.78358525393062,-22.73282386505023
6,4.096758810519952e-05,0.000158068358913487,0.00011710077080828748,0.876568855641299,19.486299469549145,-129.4995155348114
7,4.8500609523790835e-05,0.00019471708953273042,0.0001462164800089396,1.0945185074311343,-7.367784779584199,-63.86607772134645
8,4.2464891842029215e-05,0.00016919398932569755,0.00012672909748366834,0.9486463416478089,-9.942253442701709,141.69862754281985
9,5.84298310526452e-05,0.00014482207028411535,8.639223923147016e-05,0.6467002795663497,169.3692599832835,-48.052216737305244
10,5.5106416115625976e-05,0.00018910244727776045,0.00013399603116213447,1.0030453887942383,160.0956354886161,-74.94757741725444
11,7.948131897518446e-05,3.140678164485215e-05,-4.807453733033231e-05,0.35986789950316816,-15.20104243862495,82.98370931089671
12,7.291264961809744e-05,9.675343463163583e-05,2.3840785013538388e-05,0.1784631805224914,30.142692402467787,128.34472174066033
13,0.00010335992375684517,0.00012867083998003776,2.5310916223192584e-05,0.18946841574881076,-103.39933138709198,-27.922492046408124
14,3.916488080699927e-05,0.00014882427321407632,0.00010965939240707705,0.8208693638103787,54.795112484668316,-70.54106520626681
15,1.8371947665057566e-05,3.6290607608442916e-05,1.791865994338535e-05,0.13413244466766405,163.62999623421155,-134.1891776181276
