case,true_interruption,runs,detection_rate,median_detected_pu,median_selected_window
instantaneous_interruption,True,30,1.0,0.02796874420146141,9.0
momentary_interruption,True,30,1.0,0.031116694995418425,9.0
temporary_interruption,True,30,1.0,0.032021991597746914,9.0
distorted_temporary_interruption,True,30,1.0,0.029299414557193752,9.0
deep_sag,False,30,0.0,,9.0
near_boundary_sag,False,30,0.0,,9.0
healthy,False,30,0.0,,9.0
swell,False,30,0.0,,9.0
offset_step,False,30,0.0,,9.0
impulse_only,False,30,0.0,,9.0
subcycle_dropout,False,30,0.0,,9.0
