track_id,center_frequency_hz,occupancy,capture_count,observation_count,median_amplitude,amplitude_mad,frequency_mad_hz,phase_coherence,axial_phase_coherence,complex_axis_r2,amplitude_slope_per_capture,relative_growth_over_run,signed_amplitude_slope_per_capture,signed_relative_change_over_run,first_capture,last_capture,classification
3,60.0,1.0,48,48,0.06617784211487247,0.011982546988764182,0.0,0.04973222078008266,0.09368275712640751,0.5363963686529363,6.209320166276899e-05,0.04409905770400272,-0.26696048630647684,-0.25308079668919575,0,47,persistent asynchronous narrowband
7,310.0,0.9583333333333334,46,46,0.03200275835523357,0.015318124960171632,0.0,0.013947290181479268,0.9980404702631437,0.9997622291835923,3.458455970381045e-05,0.0507916938920132,2.6158116727780305,2.6105875689254106,0,47,persistent phase-axis narrowband with growth
13,680.0,0.10416666666666667,5,5,0.002609810214115733,3.5998192785405454e-05,0.0,0.960679732182127,0.8489364404731243,0.5553705656944122,1.5591264022532617e-06,0.0173248864690586,0.0030868064552336673,0.06805347001773572,14,43,sparse peak cluster
6,180.0,0.10416666666666667,5,5,0.002335940277466346,0.00017470686885120513,0.0,0.9857511523512908,0.9439731121664778,0.5604711939559767,-8.833419794298043e-06,-0.11344579156637244,0.003225880199537275,0.20803225759856556,4,34,sparse peak cluster
11,550.0,0.041666666666666664,2,2,0.0025019029026749216,5.0880700677118e-05,0.0,0.9642062253349561,0.8593872899493683,0.5796327138088029,0.0,0.0,0.0042734505464904135,0.11338083624431686,26,39,sparse peak cluster
12,560.0,0.041666666666666664,2,2,0.0021976200016571752,0.00014180432537282952,0.0,0.9549139628678436,0.8237213529599386,0.5518353033016026,0.0,0.0,0.0003491798714888174,0.009253284623290984,16,47,sparse peak cluster
1,7.0,0.041666666666666664,2,2,0.0017396648145274881,0.00019787698327938645,0.0,0.8321118812174165,0.3848203657263755,0.5278502938917968,0.0,0.0,-0.0032095483117806035,-0.2816734615316992,0,47,sparse peak cluster
0,1.5,0.041666666666666664,2,2,0.0014060783995042884,3.465606287098304e-05,0.5,0.018764606180583124,0.9992957791097753,0.5599443897580776,0.0,0.0,0.004076831584206046,0.31413335788691243,22,46,sparse peak cluster
4,70.0,0.020833333333333332,1,1,0.002506651015281905,0.0,0.0,1.0,1.0,0.5269308733842119,0.0,0.0,0.005593345181368151,0.24624185343597843,0,0,sparse peak cluster
2,28.0,0.020833333333333332,1,1,0.002078281815159187,0.0,0.0,1.0000000000000002,1.0,0.5820200604832514,0.0,0.0,0.0011909072441019753,0.10533645882992365,32,32,sparse peak cluster
5,170.0,0.020833333333333332,1,1,0.002021118086262432,0.0,0.0,0.9999999999999999,1.0,0.5674120966155264,0.0,0.0,-0.004628755371295886,-0.37495195326186004,43,43,sparse peak cluster
9,381.0,0.020833333333333332,1,1,0.0018032362589692568,0.0,0.0,0.9999999999999999,0.9999999999999999,0.6257222857117027,0.0,0.0,0.0016580002400218966,0.10667258701086255,0,0,sparse peak cluster
10,518.0,0.020833333333333332,1,1,0.0016783258546385859,0.0,0.0,1.0,1.0,0.6568579643372466,0.0,0.0,0.0017548699471590112,0.12158579919582482,28,28,sparse peak cluster
8,370.0,0.020833333333333332,1,1,0.0016405178453096998,0.0,0.0,1.0,1.0,0.526761855266786,0.0,0.0,-0.011642941486345378,-0.8167291160769707,12,12,sparse peak cluster
